date/time: .03/05/2018.12:36 p.m.
Run 1

time	V
25.106000	6.554770E+0
25.107000	6.557282E+0
25.108000	6.552258E+0
25.109000	6.544722E+0
25.110000	6.539698E+0
25.111000	6.527137E+0
25.112000	6.524625E+0
25.113000	6.512065E+0
25.114000	6.514577E+0
25.115000	6.507041E+0
25.116000	6.507041E+0
25.117000	6.509553E+0
25.118000	6.502017E+0
25.119000	6.502017E+0
25.120000	6.502017E+0
25.121000	6.512065E+0
25.122000	6.517089E+0
25.123000	6.542210E+0
25.124000	6.534674E+0
25.125000	6.534674E+0
25.126000	6.534674E+0
25.127000	6.524625E+0
25.128000	6.532162E+0
25.129000	6.522113E+0
25.130000	6.524625E+0
25.131000	6.519601E+0
25.132000	6.517089E+0
25.133000	6.491968E+0
25.134000	6.499505E+0
25.135000	6.502017E+0
25.136000	6.504529E+0
25.137000	6.509553E+0
25.138000	6.517089E+0
25.139000	6.529649E+0
25.140000	6.532162E+0
25.141000	6.529649E+0
25.142000	6.532162E+0
25.143000	6.547234E+0
25.144000	6.539698E+0
25.145000	6.552258E+0
25.146000	6.547234E+0
25.147000	6.552258E+0
25.148000	6.549746E+0
25.149000	6.534674E+0
25.150000	6.527137E+0
25.151000	6.514577E+0
25.152000	6.514577E+0
25.153000	6.491968E+0
25.154000	6.496993E+0
25.155000	6.491968E+0
25.156000	6.496993E+0
25.157000	6.489456E+0
25.158000	6.491968E+0
25.159000	6.496993E+0
25.160000	6.504529E+0
25.161000	6.514577E+0
25.162000	6.524625E+0
25.163000	6.539698E+0
25.164000	6.542210E+0
25.165000	6.542210E+0
25.166000	6.547234E+0
25.167000	6.547234E+0
25.168000	6.552258E+0
25.169000	6.547234E+0
25.170000	6.539698E+0
25.171000	6.532162E+0
25.172000	6.527137E+0
25.173000	6.509553E+0
25.174000	6.514577E+0
25.175000	6.512065E+0
25.176000	6.514577E+0
25.177000	6.507041E+0
25.178000	6.509553E+0
25.179000	6.507041E+0
25.180000	6.509553E+0
25.181000	6.517089E+0
25.182000	6.519601E+0
25.183000	6.542210E+0
25.184000	6.534674E+0
25.185000	6.539698E+0
25.186000	6.532162E+0
25.187000	6.524625E+0
25.188000	6.522113E+0
25.189000	6.524625E+0
25.190000	6.519601E+0
25.191000	6.512065E+0
25.192000	6.522113E+0
25.193000	6.504529E+0
25.194000	6.509553E+0
25.195000	6.499505E+0
25.196000	6.504529E+0
25.197000	6.499505E+0
25.198000	6.504529E+0
25.199000	6.522113E+0
25.200000	6.524625E+0
25.201000	6.537186E+0
25.202000	6.539698E+0
25.203000	6.552258E+0
25.204000	6.549746E+0
25.205000	6.549746E+0
25.206000	6.547234E+0
25.207000	6.549746E+0
25.208000	6.544722E+0
25.209000	6.539698E+0
25.210000	6.529649E+0
25.211000	6.514577E+0
25.212000	6.514577E+0
25.213000	6.486944E+0
25.214000	6.496993E+0
25.215000	6.489456E+0
25.216000	6.494480E+0
25.217000	6.494480E+0
25.218000	6.491968E+0
25.219000	6.496993E+0
25.220000	6.502017E+0
25.221000	6.514577E+0
25.222000	6.517089E+0
25.223000	6.544722E+0
25.224000	6.542210E+0
25.225000	6.544722E+0
25.226000	6.542210E+0
25.227000	6.539698E+0
25.228000	6.544722E+0
25.229000	6.539698E+0
25.230000	6.539698E+0
25.231000	6.539698E+0
25.232000	6.529649E+0
25.233000	6.512065E+0
25.234000	6.512065E+0
25.235000	6.512065E+0
25.236000	6.514577E+0
25.237000	6.519601E+0
25.238000	6.514577E+0
25.239000	6.519601E+0
25.240000	6.514577E+0
25.241000	6.519601E+0
25.242000	6.524625E+0
25.243000	6.549746E+0
25.244000	6.542210E+0
25.245000	6.539698E+0
25.246000	6.537186E+0
25.247000	6.529649E+0
25.248000	6.529649E+0
25.249000	6.524625E+0
25.250000	6.524625E+0
25.251000	6.522113E+0
25.252000	6.514577E+0
25.253000	6.484432E+0
25.254000	6.491968E+0
25.255000	6.494480E+0
25.256000	6.504529E+0
25.257000	6.502017E+0
25.258000	6.504529E+0
25.259000	6.517089E+0
25.260000	6.519601E+0
25.261000	6.527137E+0
25.262000	6.532162E+0
25.263000	6.559794E+0
25.264000	6.554770E+0
25.265000	6.557282E+0
25.266000	6.547234E+0
25.267000	6.552258E+0
25.268000	6.559794E+0
25.269000	6.544722E+0
25.270000	6.532162E+0
25.271000	6.519601E+0
25.272000	6.519601E+0
25.273000	6.502017E+0
25.274000	6.509553E+0
25.275000	6.502017E+0
25.276000	6.494480E+0
25.277000	6.494480E+0
25.278000	6.484432E+0
25.279000	6.496993E+0
25.280000	6.504529E+0
25.281000	6.512065E+0
25.282000	6.517089E+0
25.283000	6.534674E+0
25.284000	6.529649E+0
25.285000	6.539698E+0
25.286000	6.532162E+0
25.287000	6.532162E+0
25.288000	6.539698E+0
25.289000	6.532162E+0
25.290000	6.534674E+0
25.291000	6.537186E+0
25.292000	6.532162E+0
25.293000	6.514577E+0
25.294000	6.509553E+0
25.295000	6.512065E+0
25.296000	6.512065E+0
25.297000	6.519601E+0
25.298000	6.514577E+0
25.299000	6.524625E+0
25.300000	6.517089E+0
25.301000	6.529649E+0
25.302000	6.527137E+0
25.303000	6.549746E+0
25.304000	6.547234E+0
25.305000	6.547234E+0
25.306000	6.542210E+0
25.307000	6.532162E+0
25.308000	6.524625E+0
25.309000	6.519601E+0
25.310000	6.519601E+0
25.311000	6.514577E+0
25.312000	6.509553E+0
25.313000	6.481920E+0
25.314000	6.484432E+0
25.315000	6.489456E+0
25.316000	6.496993E+0
25.317000	6.494480E+0
25.318000	6.496993E+0
25.319000	6.502017E+0
25.320000	6.514577E+0
25.321000	6.524625E+0
25.322000	6.529649E+0
25.323000	6.544722E+0
25.324000	6.542210E+0
25.325000	6.537186E+0
25.326000	6.544722E+0
25.327000	6.544722E+0
25.328000	6.549746E+0
25.329000	6.532162E+0
25.330000	6.524625E+0
25.331000	6.512065E+0
25.332000	6.512065E+0
25.333000	6.491968E+0
25.334000	6.502017E+0
25.335000	6.489456E+0
25.336000	6.486944E+0
25.337000	6.484432E+0
25.338000	6.474384E+0
25.339000	6.486944E+0
25.340000	6.486944E+0
25.341000	6.496993E+0
25.342000	6.494480E+0
25.343000	6.522113E+0
25.344000	6.519601E+0
25.345000	6.519601E+0
25.346000	6.514577E+0
25.347000	6.512065E+0
25.348000	6.519601E+0
25.349000	6.507041E+0
25.350000	6.514577E+0
25.351000	6.509553E+0
25.352000	6.514577E+0
25.353000	6.484432E+0
25.354000	6.486944E+0
25.355000	6.494480E+0
25.356000	6.502017E+0
25.357000	6.504529E+0
25.358000	6.502017E+0
25.359000	6.514577E+0
25.360000	6.512065E+0
25.361000	6.514577E+0
25.362000	6.514577E+0
25.363000	6.539698E+0
25.364000	6.542210E+0
25.365000	6.544722E+0
25.366000	6.534674E+0
25.367000	6.524625E+0
25.368000	6.522113E+0
25.369000	6.517089E+0
25.370000	6.517089E+0
25.371000	6.512065E+0
25.372000	6.509553E+0
25.373000	6.484432E+0
25.374000	6.481920E+0
25.375000	6.479408E+0
25.376000	6.484432E+0
25.377000	6.489456E+0
25.378000	6.494480E+0
25.379000	6.507041E+0
25.380000	6.517089E+0
25.381000	6.519601E+0
25.382000	6.514577E+0
25.383000	6.539698E+0
25.384000	6.537186E+0
25.385000	6.554770E+0
25.386000	6.554770E+0
25.387000	6.562306E+0
25.388000	6.564819E+0
25.389000	6.544722E+0
25.390000	6.542210E+0
25.391000	6.532162E+0
25.392000	6.529649E+0
25.393000	6.512065E+0
25.394000	6.514577E+0
25.395000	6.512065E+0
25.396000	6.512065E+0
25.397000	6.502017E+0
25.398000	6.504529E+0
25.399000	6.504529E+0
25.400000	6.514577E+0
25.401000	6.519601E+0
25.402000	6.517089E+0
25.403000	6.534674E+0
25.404000	6.537186E+0
25.405000	6.534674E+0
25.406000	6.534674E+0
25.407000	6.524625E+0
25.408000	6.532162E+0
25.409000	6.522113E+0
25.410000	6.522113E+0
25.411000	6.524625E+0
25.412000	6.524625E+0
25.413000	6.499505E+0
25.414000	6.502017E+0
25.415000	6.504529E+0
25.416000	6.509553E+0
25.417000	6.517089E+0
25.418000	6.522113E+0
25.419000	6.527137E+0
25.420000	6.532162E+0
25.421000	6.524625E+0
25.422000	6.527137E+0
25.423000	6.552258E+0
25.424000	6.554770E+0
25.425000	6.554770E+0
25.426000	6.544722E+0
25.427000	6.539698E+0
